,state,population,accidents
50,Wyoming,0.576305,17.4
45,Vermont,0.62609,13.6
8,District of Columbia,0.634924,5.9
34,North Dakota,0.701176,23.9
1,Alaska,0.730443,18.1
41,South Dakota,0.833566,19.4
7,Delaware,0.915179,16.2
26,Montana,1.003783,21.4
39,Rhode Island,1.054621,11.1
29,New Hampshire,1.324232,11.6
19,Maine,1.327729,15.1
11,Hawaii,1.394804,17.5
12,Idaho,1.595324,15.3
27,Nebraska,1.853303,14.9
48,West Virginia,1.856872,23.8
31,New Mexico,2.087309,18.4
28,Nevada,2.743996,14.7
44,Utah,2.853375,11.3
16,Kansas,2.885257,17.8
3,Arkansas,2.952164,22.4
24,Mississippi,2.983816,17.6
15,Iowa,3.07619,15.7
6,Connecticut,3.594547,10.8
36,Oklahoma,3.818814,19.9
37,Oregon,3.899001,12.8
17,Kentucky,4.386346,21.4
18,Louisiana,4.600972,20.5
40,South Carolina,4.717354,23.9
0,Alabama,4.815588,18.8
5,Colorado,5.192647,13.6
23,Minnesota,5.376643,9.6
49,Wisconsin,5.71996,13.8
20,Maryland,5.886992,12.5
25,Missouri,6.024367,16.1
42,Tennessee,6.453898,19.5
14,Indiana,6.537703,14.5
2,Arizona,6.554978,18.6
21,Massachusetts,6.663005,8.2
47,Washington,6.897058,10.6
46,Virginia,8.18508,12.7
30,New Jersey,8.844942,11.2
33,North Carolina,9.749476,16.8
22,Michigan,9.897145,14.1
10,Georgia,9.90143,15.6
35,Ohio,11.548923,14.1
38,Pennsylvania,12.767118,18.2
13,Illinois,12.88251,12.8
9,Florida,19.297822,17.9
32,New York,19.572932,12.3
43,Texas,26.084481,19.4
4,California,37.9488,12.0
