,state,urbanindex,accidents
50,Wyoming,8.256294,17.4
26,Montana,8.470226,21.4
41,South Dakota,8.728642,19.4
1,Alaska,8.735964,18.1
45,Vermont,8.843222,13.6
24,Mississippi,8.910859,17.6
19,Maine,9.037091,15.1
34,North Dakota,9.054678,23.9
48,West Virginia,9.111112,23.8
3,Arkansas,9.259444,22.4
15,Iowa,9.593525,15.7
12,Idaho,9.593634,15.3
0,Alabama,9.605935,18.8
17,Kentucky,9.789536,21.4
31,New Mexico,9.896993,18.4
29,New Hampshire,9.917139,11.6
36,Oklahoma,9.93928,19.9
40,South Carolina,10.111419999999999,23.9
16,Kansas,10.120439999999999,17.8
18,Louisiana,10.175180000000001,20.5
49,Wisconsin,10.191310000000001,13.8
42,Tennessee,10.197289999999999,19.5
27,Nebraska,10.199119999999999,14.9
25,Missouri,10.202119999999999,16.1
33,North Carolina,10.324810000000001,16.8
14,Indiana,10.4105,14.5
23,Minnesota,10.45684,9.6
10,Georgia,10.55233,15.6
37,Oregon,10.71233,12.8
22,Michigan,10.805589999999999,14.1
35,Ohio,10.87687,14.1
46,Virginia,10.90625,12.7
44,Utah,10.962810000000001,11.3
7,Delaware,11.00999,16.2
11,Hawaii,11.086210000000001,17.5
47,Washington,11.11933,10.6
38,Pennsylvania,11.146230000000001,18.2
5,Colorado,11.15445,13.6
43,Texas,11.17488,19.4
2,Arizona,11.299710000000001,18.6
6,Connecticut,11.40968,10.8
9,Florida,11.464839999999999,17.9
13,Illinois,11.62372,12.8
20,Maryland,11.71105,12.5
39,Rhode Island,11.72124,11.1
28,Nevada,11.76972,14.7
21,Massachusetts,11.83973,8.2
4,California,12.19028,12.0
30,New Jersey,12.23565,11.2
32,New York,12.55857,12.3
8,District of Columbia,13.440570000000001,5.9
